it  wouldn't  rain  in  the  middle  of  the  summer.	it  wouldn't  seem  right  if  it  started  raining  right  now. 
,it  wouldn't  seem  right  if  it  started  raining  right  now.	it  would  be  weird  if  it  started  raining  in  ninety  degree  weather. 
,it  would  be  weird  if  it  started  raining  in  ninety  degree  weather.	any  rain  right  now  would  be  pointless. 
,any  rain  right  now  would  be  pointless.	that's  right ,  it  really  would  be. 
,that's  right ,  it  really  would  be.	i  want  it  to  cool  down  some. 
,i  want  it  to  cool  down  some.	i  know  what  you  mean ,  i  can't  wait  until  it's  winter. 
,i  know  what  you  mean ,  i  can't  wait  until  it's  winter.	winter  is  great.  i  wish  it  didn't  get  so  cold  sometimes  though. 
,winter  is  great.  i  wish  it  didn't  get  so  cold  sometimes  though.	i  would  rather  deal  with  the  winter  than  the  summer. 
,it's  such  a  nice  day.	yes ,  it  is. 
,yes ,  it  is.	it  looks  like  it  may  rain  soon. 
,it  looks  like  it  may  rain  soon.	yes ,  and  i  hope  that  it  does. 
,yes ,  and  i  hope  that  it  does.	why  is  that? 
,why  is  that?	i  really  love  how  rain  clears  the  air. 
,i  really  love  how  rain  clears  the  air.	me  too.  it  always  smells  so  fresh  after  it  rains. 
,me  too.  it  always  smells  so  fresh  after  it  rains.	yes ,  but  i  love  the  night  air  after  it  rains. 
,yes ,  but  i  love  the  night  air  after  it  rains.	really?  why  is  it? 
,really?  why  is  it?	because  you  can  see  the  stars  perfectly. 
,because  you  can  see  the  stars  perfectly.	i  really  hope  it  rains  today. 
,i  really  hope  it  rains  today.	yeah ,  me  too. 
,isn't  it  a  nice  day?	it  really  is. 
,it  really  is.	it  seems  that  it  may  rain  today. 
,it  seems  that  it  may  rain  today.	hopefully  it  will. 
,hopefully  it  will.	how  come? 
,how  come?	i  like  how  clear  the  sky  gets  after  it  rains. 
,i  like  how  clear  the  sky  gets  after  it  rains.	i  feel  the  same  way.  it  smells  so  good  after  it  rains. 
,i  feel  the  same  way.  it  smells  so  good  after  it  rains.	i  especially  love  the  night  air  when  it  rains. 
,i  especially  love  the  night  air  when  it  rains.	really?  why? 
,really?  why?	the  stars  look  so  much  closer  after  it  rains. 
,the  stars  look  so  much  closer  after  it  rains.	i  really  want  it  to  rain  today. 
,i  really  want  it  to  rain  today.	yeah ,  so  do  i. 
,don't  you  think  it's  nice  out?	yes ,  i  think  so  too. 
,yes ,  i  think  so  too.	i  think  that  it's  going  to  rain. 
,i  think  that  it's  going  to  rain.	i  hope  that  it  does  rain. 
,i  hope  that  it  does  rain.	you  like  the  rain? 
,you  like  the  rain?	the  sky  looks  so  clean  after  it  rains.  i  love  it. 
,the  sky  looks  so  clean  after  it  rains.  i  love  it.	i  understand.  rain  does  make  it  smell  cleaner. 
,i  understand.  rain  does  make  it  smell  cleaner.	i  love  most  how  it  is  at  night  after  it  rains. 
,i  love  most  how  it  is  at  night  after  it  rains.	how  come? 
,how  come?	you  can  see  the  stars  so  much  more  clearly  after  it  rains. 
,you  can  see  the  stars  so  much  more  clearly  after  it  rains.	i  would  love  for  it  to  rain  today. 
,i  really  want  to  go  to  the  beach  this  weekend.	that  sounds  like  fun.  what's  the  weather  going  to  be  like? 
,that  sounds  like  fun.  what's  the  weather  going  to  be  like?	i  heard  that  it's  going  to  be  warm  this  weekend. 
,i  heard  that  it's  going  to  be  warm  this  weekend.	is  it  going  to  be  perfect  beach  weather? 
,is  it  going  to  be  perfect  beach  weather?	i  believe  so. 
,i  believe  so.	good.  i  hope  it  doesn't  cool  off  this  weekend. 
,good.  i  hope  it  doesn't  cool  off  this  weekend.	i  know.  i  really  want  to  go  to  the  beach. 
,i  know.  i  really  want  to  go  to  the  beach.	but  you  know  that  california  weather  is  really  unpredictable. 
,but  you  know  that  california  weather  is  really  unpredictable.	you're  right.  one  minute  it's  hot ,  and  then  the  next  minute  it's  cold. 
,you're  right.  one  minute  it's  hot ,  and  then  the  next  minute  it's  cold.	i  really  wish  the  weather  would  just  stay  the  same. 
,i  really  wish  the  weather  would  just  stay  the  same.	i  do  too.  that  way  we  can  have  our  activities  planned  ahead  of  time. 

